marca,name,price,link,image,scraped_at
marca_79,Contador de Vida - Gamegenic - Damage Pad - Branco,119.90,https://www.ligaswu.com.br/?view=prod/view&pcode=134523&prod=Contador de Vida - Gamegenic - Damage Pad - Branco,https://repositorio.sbrauble.com/arquivos/up/prod/20251030/1761835445_9797.jpg,2025-12-15T11:49:38.930506
marca_79,Contador de Vida - Gamegenic - Damage Pad - Preto,119.90,https://www.ligaswu.com.br/?view=prod/view&pcode=134522&prod=Contador de Vida - Gamegenic - Damage Pad - Preto,https://repositorio.sbrauble.com/arquivos/up/prod/20251030/1761835078_3127.jpg,2025-12-15T11:49:38.930506
marca_79,Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Amarelo,237.90,https://www.ligaswu.com.br/?view=prod/view&pcode=129485&prod=Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Amarelo,https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707404314_6551.jpg,2025-12-15T11:49:38.931508
marca_79,Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Azul,237.90,https://www.ligaswu.com.br/?view=prod/view&pcode=129483&prod=Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Azul,https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707401791_2114.jpg,2025-12-15T11:49:38.931508
marca_79,Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Branco/Preto,237.90,https://www.ligaswu.com.br/?view=prod/view&pcode=129481&prod=Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Branco/Preto,https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707400005_6670.jpg,2025-12-15T11:49:38.931508
marca_79,Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Preto,249.99,https://www.ligaswu.com.br/?view=prod/view&pcode=129480&prod=Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Preto,https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707397012_9608.jpg,2025-12-15T11:49:38.932505
marca_79,Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Verde,237.90,https://www.ligaswu.com.br/?view=prod/view&pcode=129482&prod=Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Verde,https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707400691_1257.jpg,2025-12-15T11:49:38.932505
marca_79,Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Vermelho,237.90,https://www.ligaswu.com.br/?view=prod/view&pcode=129484&prod=Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Vermelho,https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707403469_2705.jpg,2025-12-15T11:49:38.932505
marca_79,Double Deck Pod Gamegenic 120+ Convertible (Star Wars Unlimited) - Amarelo,343.99,https://www.ligaswu.com.br/?view=prod/view&pcode=129486&prod=Double Deck Pod Gamegenic 120+ Convertible (Star Wars Unlimited) - Amarelo,https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707412174_7642.jpg,2025-12-15T11:49:38.933506
marca_79,Double Deck Pod Gamegenic 120+ Convertible (Star Wars Unlimited) - Azul,350.00,https://www.ligaswu.com.br/?view=prod/view&pcode=129488&prod=Double Deck Pod Gamegenic 120+ Convertible (Star Wars Unlimited) - Azul,https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707414363_8514.jpg,2025-12-15T11:49:38.933506
